分類,問題,回答
文書組,電子公文系統-發文注意事項,電子公文系統發文注意事項
文書組,公文展期申請,如案件經詳細檢討，預計不能於規定時間內辦結時，承辦人員在預定結案日期未屆滿前得於公文系統內填寫『公文處理展期申請單』提出展期申請，各級主管應確實審核，其有必要者，依下列規定辦理：1.每一案件申請次數以3次為限，展期日數合計不得超過30日。2.展期日數10日（含）以內，送由二級單位主管核准；展期日數累計20日（含）以內，送由一級單位主管核准；展期日數累計超過20日以上者，送由主任秘書核准。3.歷次展期日數累計超過30日以上者，應申請專案案件，應送請主任秘書核准。
文書組,電子公文系統-如何查詢分類號,一、分類號注意事項1.創稿時一定要填寫正確之分類號。2.99年每一分類號均為六碼類：2碼、綱：2碼、目：2 碼）二、查詢方法：1.方法一：由電子公文系統「公文製作」→「分類號」→「查詢」，按下「查詢」鈕即可查詢所有分類號2.方法二：至文書組網頁查詢，分類號查詢網址：http://211.72.73.38/1d0c71b2/news/80d524a9電子公文系統-如何查詢分類號
文書組,新進同仁信件郵寄收發須知,為讓全校同仁能快速收取到自己的信件，各位同仁有來信時，請務必要求對方註明單位、職稱，或各系所請註明系所辦公室，例如：中壢市五權里二鄰中大路300號，國立中央大學土木系辦公室 某某教授收、或國立中央大學土木系辦公室 某某助教收、國立中央大學學務處 某某收，謝謝!
文書組,公文處理期限,依文書處理手冊規範，各類公文處理時限如下：1.最速件：一日。2.速件：三日。3.普通件：六日。4.限期公文：來文或依其他規定訂有期限之公文，應依其規定期限辦理。5.涉及政策、法令或需多方會辦、分辦，且需三十日以上方可辦結之複雜案件，得申請為專案管制案件。
文書組,公文稽催範圍,公文稽催範圍包括：1.逾期未辦畢公文2.已辦畢五日內未歸檔公文
文書組,簽、稿不同,１.「簽」為幕僚處理公務表達意見，以供上級瞭解案情、並作抉擇之依據。２.「稿」為公文之草本，依各機關規定程序核判後發出。
文書組,公務機密維護法規適用疑義釋例彙整表,一、函轉教育部99年2月2日台政字第0990019674號函。二、增列監察院調查委員對於行使職權所得或作成部分內容為機密之資料，是否全卷均以機密件處理，不能對外公開、機密檔案解密權責暨後續處理事宜及外交部駐外館處涉及國家機密人員出境應否經核准等疑義之解釋函計3則。附加檔案：公務機密維護法規適用疑義釋例彙整表
文書組,公文用語表,公文用語表
事務組,自行車證申請路徑,自行車證申請路徑：中大 Portal 網站 / 便捷窗口 / 服務櫃台 / 總務專區 / 事務 / 自行車證申請NCU Portal / Quick Window / iNCU / Oga / Affairs / Bike License Apply / Application(請注意： 一人最多只能申請兩張車證)
事務組,若汽車進出前門、後門、北村側門、教研大樓地下停車場柵欄不開怎麼辦?,首先請先瞭解各門口進出限制：前、後門：所以車輛皆可進出北村側門：限具有本校教職員通行證車輛教研大樓地下停車場：限具有本校現職教職員工汽車通行證(不包含退休教職員證喔!)及貴賓通行證之車輛車輛入校採車牌辨識，所有車輛均可入校，但離校柵欄不開怎麼辦：若您是具有本校汽車通行證之月租車輛：第一步：請先將本校汽車通行證放置擋風玻璃左側前方第二步：若柵欄不開，前後門值班人員若看到具有本校有效汽車通行證車輛，將人工開柵欄放行；北村側門請按車道對講機，核對身分後放行；教研大樓地下停車場請按車道對講機，核對身分後放行。第三步：紀錄柵欄不開之車號、日期、時間及車道資訊（例如車號AAA1234，111年1月1日，約下午4點至5點，前門靠崗哨車道離校方向不開柵欄），聯絡資產組林小姐（E-mail：hc21502@ncu.edu.tw、分機57334）回報。若您是一般臨停車輛：第一步：請先確認是否已至自動繳費機繳完停車費用(繳費金額等問題，請按自動繳費機內之對講機處理)第二步：若柵欄不開，請向前後門崗哨值班人員，出示繳費後之發票，人工放行。第三步：紀錄柵欄不開之車號、日期、時間、車道資訊及發票號碼(例如車號AAA1234，111年1月1日，約下午4點至5點，前門靠崗哨車道離校方向不開柵欄，MV12345678)，聯絡資產組林小姐（E-mail：hc21502@ncu.edu.tw、分機57334）回報。若您是使用折扣券或線上折抵之臨停車輛：第一步：請先確認是否已至自動繳費機，操作完折扣券，繳完停車費用5折(停車優惠券)部分不論折扣券或線上折抵皆須至繳費機繳費免費部分，折扣券須至繳費機操作後30分鐘內離場；線上折抵無須至繳費操作即可直接離場繳費金額或折扣券操作等問題，請按自動繳費機內之對講機處理第二步：若柵欄不開，請向前後門崗哨值班人員，出示繳費後之發票，或告知為哪個單位之折扣對象(例如事務組之評選委員，有key線上折抵免費)，將人工放行。第三步：紀錄柵欄不開之車號、日期、時間、車道資訊及發票號碼或折扣券號碼(例如車號AAA1234，111年1月1日，約下午4點至5點，前門靠崗哨車道離校方向不開柵欄，MV12345678或折券號碼NO.2202000473000010)，聯絡資產組林小姐（E-mail：hc21502@ncu.edu.tw、分機57334）回報。
事務組,台聯大專車-有搭乘相關問題要跟誰反應？,台聯大校際專車管理單位為台聯大系統辦公室，位於本校國鼎圖書館二樓。電話：(03)422-7151分機34757陳小姐或直接參閱台聯大網站-校際專車：台灣聯合大學系統
事務組,台聯大專車-需要辦理乘車證嗎？,需要。連結網址：台灣聯合大學系統
事務組,台聯大專車-行駛時間表要到哪裡看？,發車時間、實際學期中行駛以及寒暑假停駛日期請至台聯大系統網站查看。連結網址-台聯大網站-校際專車：台灣聯合大學系統
事務組,台聯大專車-哪幾天有行駛？,學期中之星期一至星期五行駛，國定假日及寒暑假停駛。發車時間、實際學期中行駛以及寒暑假停駛日期請至台聯大系統網站查看。連結網址-台聯大網站-校際專車：台灣聯合大學系統
事務組,中研院區間車-有其他相關問題要跟誰反應？,中研院區間車管理單位為中研院總務處：電話 (02)2789-9827 張小姐另外亦可向亞通客運反映：02-2793-0960
事務組,中研院區間車-需要辦理乘車證嗎？,不需要。請憑識別證、學生證或學術交流活動之證明文件搭車。
事務組,中研院區間車本校搭車地點在哪裡？,依仁堂(Yi-ren HallBell)(有中研院交通車站牌)。
事務組,中研院區間車-行駛時間表要到哪裡看？,發車時間及實際學期中行駛及寒暑假停駛日期，請至中研院首頁→常用連結→本院區間車行車路線時刻表。連結網址：中研院首頁
事務組,台聯大專車-本校搭車地點在哪裡？,前門旁復校紀念塔前站牌(行政大樓對面)
事務組,中研院區間車-哪幾天有行駛？,學期中每周一、三、五行駛 (寒暑假停駛)。
事務組,什麼時候可以借用物品?如何借用?,1.物品借用或歸還：請於每週一、三、五上午09:30~11:30 至事務組洽辦，其他時間恕不受理。2.請利用中央大學總務處事務組網站上查閱物品借用單相關事宜。3.所有借用物品，皆不接受預借，借用時間以二個星期為限(含假日)。
事務組,電話分機使用說明(含台灣聯大四校交換機連線使用說明),電話分機使用說明一、轉接電話與外線通話中，可按“轉接（FLASH）”鍵，聽到區別音後，再撥“欲轉之分機號碼”，掛上即可。二、三人會談與內（外）線通話中，如欲和另一內（外）線進行會談時，可按“轉接”鍵，聽到區別音後，再撥內（外）線之號碼，俟第三者應答後，再按“轉接”鍵，即可三人會談。三、代接電話撥“11”可代接同組響鈴中之來話。四、忙線預約（1）撥分機（非轉接）遇對方忙線時，可按“轉接”鍵，聽到區別音後再撥“13”掛上電話，等對方掛上電話後，對方電話立即震鈴，拿起電話即聽到對方震鈴，待接通後雙方即可通話。（2）取消此預約功能，撥“14”。五、電話轉移卅跟隨（1）拿起話筒撥“103”加上“對方分機號碼”，可將自己分機設成忙線或無人應答時之來話轉移至該分機響鈴。（2）拿起話筒撥“104”加上“對方分機號碼”，可將自己分機設成全部來話皆轉移至該分機響鈴。（3）取消此功能或再設定時撥“100”即可。六、台灣聯大四校交換機連線使用說明：(1) 四校連線代碼：＊9(2) 交通大學代號：40(3) 清華大學代號：41(4) 中央大學代號：42(5) 陽明大學代號：43行政與教學部門　學校分機撥法：撥號方法：＊9 + 學校代號 + 分機號碼 ---- 即可通話＊9 + 學校代號 + 9 ---- 為總機語音範例：撥交通大學總務處分機號碼51502如下：＊94051502 ---- 聽到回鈴音，待人接聽即可通話學生宿舍各舍　宿舍分機撥法：撥號方法：189 + ＊9 + 學校代號 + 分機號碼 ---- 即可通話189 + ＊9 + 學校代號 + 9 ---- 為總機語音範例：撥交通大學學生宿舍分機號碼80125如下：189＊94080125 ---- 聽到回鈴音，待人接聽即可通話
出納組,校內各單位領用收據事宜,為配合「主計出納收據系統」於105年度正式上線，相關領用收據部分，請各單位於系統辦理線上登錄作業。收據系統網址：主計出納收據系統目前實施紙本及線上同時申請作業，請各承辦人於線上申請後連同核章後之紙本申請書一併送至出納組辦理。
出納組,廠商貨款查詢系統使用說明,廠商貨款查詢系統請使用ie6.0或firefox 2.0.0.14以上版本的瀏覽器。連線網址:廠商貨款查詢系統登錄的帳號/密碼：單位承辦人員請輸入電子表單系統之帳號、密碼。廠商請輸入帳號(統一編號)、密碼(銀行帳號)。
出納組,第一銀行中壢分行(國庫)電話?,第一銀行中壢分行電話為(03)4225111轉101
出納組,薪資、鐘點費、工讀金及獎助學金發放相關問題,Q1：什麼時候發薪？1、專任教職員工、專案教師、契僱人員、科技部延攬人才，固定於每月1日發放當月薪資。2、兼任助理、工讀生、臨時工，固定於每月20日發放上月薪資。3、專任助理固定於每月20日發放當月薪資。Q2：兼任教師鐘點費什麼時候發薪？每學期人工加退選結束後，由教務處課務組會開課單位確認兼任教師開課時數無誤，並經人事室追補扣兼任教師勞健保費用後即通知本組按月發放薪資。Q3：沒有薪資單，我怎麼知道何時會有薪資要入帳呢？任何薪資入帳皆會以電子郵件通知，若沒有收到通知請與本組核對電子郵件信箱。亦可隨時於本校Portal入口>校務行政服務?總務服務>撥帳系統查詢。Q4：要報稅了，我要如何取得我的扣繳憑單？請自行於本校Portal入口>校務行政服務>總務服務>撥帳系統>個人入帳查詢與報表>個人扣繳憑單查詢。Q5：薪資帳戶與公教優惠帳戶是否可選擇不同銀行？為配合銀行政策與公平性，薪資與公教優惠存款應同時存入同一銀行，如需變更薪資入帳戶，相對公教優惠存款戶也需一併更改。附加檔案：薪資、鐘點費、工讀金及獎助學金發放相關問題
出納組,專任助理或兼任助理、工讀生、臨時工，繳回溢領薪資相關問題,1.首先在撥帳管理系統製作人事費印領清冊(專任)負冊，並送出核章。2.自出納組網頁表單下載繳回款項通知單，並持該通知單到出納組繳回款項。
出納組,所得種類及扣繳稅率相關說明,請詳見附檔，謝謝。附加檔案：所得種類及扣繳稅率相關說明
出納組,外籍人士課稅標準,同一課稅年度（1月1日至12月31日）內，在華居留未滿183天者，其中華民國來源之扣繳所得，由扣繳義務人就源扣繳薪資按給付額扣取18%。自98年1月1日起，如全月薪資給付總額在行政院核定每月基本工資1.5倍以下者，按給付額扣取6%。執行業務者之報酬按給付額扣取百分之二十。但個人稿費、版稅、樂譜、作曲、編劇、漫畫、講演之鐘點費之收入，每次給付額不超過新臺幣五千元者，得免予扣繳。附加檔案：外籍人士課稅標準
出納組,年終摸彩品是否列稅,"舉辦摸彩活動所發給之獎金或獎品，係屬所得稅法第14條第1項第8類之競技、競賽及機會中獎之獎金或給與，依同法第88條規定，應由扣繳義務人於給付時按中獎人身分辦理扣繳，中獎人如為我國境內居住之個人，應按中獎額扣取10%之扣繳稅款，惟應扣繳稅額不超過2,000元者，免予扣繳，仍應列單申報；中獎人如為非我國境內居住之個人，則無論中獎金額多寡，均按中獎額之20%就源扣繳。如摸彩的獎項為獎品，應按獎品的時價為獎額扣繳稅款。附加檔案：年終摸彩品是否列稅"
出納組,款項查詢相關問題,Q1：系所如需瞭解請購案目前之進度，應至何處查詢？請購案件送主計室辦理後，如需查詢進度，請以請購系統查詢傳票號碼(若查無傳票號碼亦未審核通過，請先詢問審核單位；如請購案件顯示已審核成功但尚未有傳票號碼，請先詢問主計室三組)致電本組詢問該傳票目前之進度及預計匯款日。Q2：廠商詢問貨款何時入帳?1、詢問業務單位是否已將貨款辦理核銷2、若業務單位已申辦，詢問主計室三組是否已開立傳票3、若主計室已開立傳票，是否已將傳票送至出納組4、傳票若已送至出納組，出納組固定星期二、四、五匯款，約5個工作天內廠商即可收到貨款Q3：廠商匯款資料如何建置?新增廠商、廠商需更換戶名或異動帳戶資料者請至出納組網頁左方表單下載內的「廠商匯款同意書」下載表格，填寫完畢後加蓋公司大小章、發票章，並附存摺影本（更換名稱者請另附核定更名之公文）傳真或郵寄至出納組辦理資料建檔。郵寄：320桃園市中壢區中大路300號《國立中央大學出納組收》傳真：(03)4273270Q4：收到貨款，不知金額是由哪幾張發票所組成?已入帳之廠商匯款，出納組提供上網查詢匯款相關明細資料，請見網頁之相關連結「廠商貨款查詢系統」。Q5：「廠商貨款查詢系統」查不到發票明細或發票號碼有誤?請將廠商之統一編號或請購案之傳票編號提供給出納組，告知本組業務承辦人(分機：57342) ，俾利本組協助查詢。附加檔案：款項查詢相關問題
出納組,自行收納款項統一收據相關問題,Q1. 已收推廣教育報名費支票款項，應如何申請開立收據?請到出納組網頁下載「國立中央大學現金、票據收款通知書」，填妥通知書內容，經單位主管核章後送出納組收款入帳。或使用「主計出納收據系統」上傳檔案格式，填製開立收據相關內容後上傳檔案格式並列印收款通知書並經單位主管核章後連同支票或現金送交出納組辦理入帳及開立收據。Q2. 掣發收據應提供那些資料?各經辦或主管單位下載收款通知書格式填具收款通知單內容(繳款機關、計畫流水號、事由、金額、收款情形及收款方式等相關資料，俾便統一收據掣發作業。附加檔案：自行收納款項統一收據相關問題附加檔案：收據系統(非電綜)檔案上傳使用教學
出納組,零用金相關問題,Q1：.如何查詢零用金？請至撥帳系統→查詢與報表→個人撥款通知單查詢→查詢點零用金撥款→年度。Q2：匯入帳號？1、個人→KEY身分證字號、本人帳戶、E-mail，零用金可選擇(一銀或郵局)。2、廠商→KEY統一編號，戶名抬頭需與發票章抬頭一致，廠商不可是個人帳戶。Q3：國內差旅費一萬元以下由零用金支付。1、支出憑證請點選零用金支出憑證單(以便日後撥帳系統查詢零用金款項)。2、受款人代碼：本人身分證字號(絕對是必key欄位)請不要KEY詳如清冊。3、一張憑證單只可黏貼一張差旅單(除非一張以上是同一個人差旅單)請購單號一定要key身分證字號。4、差旅費不可代墊。(必須出差本人身分證字號及本人帳戶) 。附加檔案：零用金相關問題
出納組,繳費管理系統常見問題,Q：使用ATM無法繳費，只能輸入14碼？使用ATM繳費請點選「繳費」，勿點選轉帳。Q：我選擇了繳費單繳款，但我現在想用ATM繳款怎麼辦？請重新操作報名步驟，點選您要的繳費方式。切勿使用ATM直接轉帳到繳費單上的帳號，這樣會導致系統無法辨識您的繳費資料。系統會依個人每次報名而產生不同的繳款帳號，繳費單的帳號只適合臨櫃劃撥，ATM的帳號也只適用於ATM繳費。Q：我選擇了ATM繳款，但我現在想用繳費單繳款怎麼辦？重新操作報名步驟，點選您要的繳費方式。Q：我不小心重複報名，在同一個繳費項目產生多筆報名資料怎麼辦？沒關係，只要按照您所申請的繳款方式去繳款一次即可，其他的報名資料可不予理會。若您多繳了費用，請向業務單位承辦人申請退費。Q：繳費後多久可於系統查詢繳費狀況？1.郵局：繳費後次一工作日2.一銀：ATM或網路匯款為繳費後2小時3.超商：5~10個工作天。（因各家超商與銀行的結帳日不同）4.信用卡或行動支付：3~7個工作天。Q：手續費能否合併計算？因手續費是給予金融機構，非學校收取，恕無法合併。
出納組,第一銀行至本校服務之時間及聯絡電話？,1.第一銀行到校時間為每週二.四.五上午10:00~12:00。2.聯絡分機: 57392
出納組,應繳回之款項如何辦理繳回？,請填寫「繳款通知書」，並將款項繳出納組代收。（表單連結：表單下載 / 繳款通知單）
出納組,各單位零用金歸墊入帳方式?,"1.代墊人於申請撥還零用金代墊款時, 由「郵局」或「一銀」帳戶擇一撥還。2.選擇以「一銀」帳戶撥還者, 請影印存摺封面一份送出納組承辦人辦理。3.初次報帳者，請墊付人提供局號、帳號及E-MAIL資料。"
出納組,校外人士支領臨時工資無郵局帳戶應如何辦理?,"請提供銀行存摺封面影本一份, 隨印領清冊一併送出請款。"
出納組,如何辦理借支及核銷,配合本校現有公文流程控管作業模式，有關借支（暫付款）作業程序如下：借支時請於網路請購系統點選「暫付款借支及核銷」類別，選取動支經費科目、計畫代號及金額，存入請購案列印「動支經費借支請示單」。登入本校公文流程控管系統，選取公文類別「簽呈」，創簽並列印控管單，併同動支經費借支請示單，遞交會計室承辦人審核。暫付款轉正核銷時，請於網路請購系統購案管理，點選「原購案編號」辦理核銷，將原始憑證（發票、收據等）粘貼於支出憑證單上，經相關主管 及單位核章後，遞交會計室承辦人審核及轉正。暫付款收回歸墊時，請將現金繳交出納組，並告知其原借支經費科目、計畫代碼及原請購單編號。連結網址：國立中央大學主計室首頁
資產組,財產管理系統使用說明書,請參考財產管理系統使用說明書
資產組,非消耗品及消耗品報帳事項Q&A,非消耗品及消耗品報帳事項Q & A1.購置財物是否都需要會知資產組。A.文具類(例如：影印紙、筆、膠帶等消耗品)、郵資、餐費(例如便當費等)、各類油品、電梯保養費、儀器使用費等免會資產組。2.那些非消耗品，由各單位自行列冊列管備查。A.（1）單價6000元（不含）以下的非消耗品，例如電子產品、電腦周邊(硬碟、行動電源等)、辦公家具(桌椅、活動櫃等)等。（2）列表機、影印機等使用的碳粉匣，不論金額多寡，皆須自行列冊列管備查。（3）使用年限不達2年的耗材（例如藥品等）、零件（例如設備使用之零件）、軟體。3.非消耗物品報帳時，財物增加單填寫有哪些注意事項A.（1）設備維修，請加註原設備財產編號。（2）購置數個相同設備總價經議價無法整除者，例如螢幕7台，經議價總價為29900元，此時請將其中一台列4274元並另填一張財產增加單，其餘六台則填寫一張財物增加單；單價列4271元。（3）一個採購案同時購置CPU+主機板+電源供應器+記憶體+機殼，雖各單價在一萬元以下仍視為購置一部新電腦，請勿以非消耗品報帳。（4）電腦如係換修CPU或主機板等，請加註原電腦財產編號，如係加購硬碟或記憶體，其單價在6000元以上者，請填財產增加單及原財產編號。（5）購置軟體除填寫財物增加單外，請同時檢附軟體保管單，其上並註明使用年限（請自行估列）。（6）財物置放校外者，請填送「財物置放校外申請單」備查。
資產組,物品領用系統常見問題,"Q 帳號和密碼如何申請A 請至PORTAL>服務櫃台>基本資料與權限>校務系統權限申請>異動申請單在專案名稱中拉選項為 ""總務系統"" ，系統權限為 ""物品領用單位承辦人""Q 在領用表輸入的地方,我要新增項目,為何輸入後有錯誤訊息A 申請數量的欄位只要打數字就好,不要輸入個或包等單位Q 我想要領的東西不在選單裡怎麼辦A 表示資產組未提供該項物品,請自購領用物品,如有任何問題,請撥打57339 徐小姐"
資產組,館舍空間管理系統使用說明書1000906,請自行下載說明書，有相關問題請洽林小姐，分機57334。附加檔案：館舍空間管理系統使用說明書
資產組,物品領用管理系統操作說明書1130326,請自行下載使用，有相關問題請洽資產經營管理組 徐小姐，分機57339。附加檔案：物品領用管理系統操作說明書
資產組,財物盤點事項Q&A(108.11),財物盤點事項Q＆A
資產組,財產遺失等處理相關法規之規定,相關說明如附檔，有需要者請自行參考。附加檔案：財產遺失等處理相關法規之規定
採購組,新台幣十萬元以下採購之錯誤行為態樣,新台幣十萬元以下採購之錯誤行為態樣.pdf
採購組,政府採購法第22條第1項各款執行錯誤態樣,政府採購法第22條第1項各款執行錯誤態樣
採購組,未達公告金額(逾15萬元未達150萬元)採購作業流程,未達公告金額(逾15萬元未達150萬元)採購作業流程
採購組,年度體育器材其經費累積合計超過15萬元以上，是否屬於分批採購？,依預算金額來看，因不同時間、不同需求，而採購之小額體育器材，可分批採購，但如可預見該年度必須使用請購該體育器材物品，則不宜分批採購。(施行細則13 條)
採購組,一百五十萬以上公開招標等標時間需多久？,第一次公開招標：等標期至少１４天，有提供電子領標可縮短至少為１１天。（第一次截止投標需有三家（含）以上廠商投標，未達三家廠商投標　需辦理第二次公開招標）第二次及以後公開招標：等標期至少７天，有提供電子領標可縮短至少為５天。（第二次截止投標不限家數，即可開標。）
採購組,研究計畫轉委託，為何還要議價？,研究計畫轉委託為勞務採購，依採購法規定仍須有議價程序。
採購組,複數決標辦理方式及及適用情形？,機關依採購法第五十二條第一項第四款採複數決標之方式，應於招標文件中公告保留採購項目（例如分項決標）或數量選擇之組合權利（例如明定廠商最低報售數量或最高報售數量），常適用於所採購物品項目繁多（如醫療用品）或數量龐大非一家廠商可提供或為分散貨源（如台電購煤）之採購。採購法施行細則第六十五條已有詳細規定。
採購組,分批編列編輯費用或不同時間辦理開發系統之小額採購其合併費用超過15萬元以上，是否可分批採購？,不同時間所辦理之小額採購費用，如因採購標的不同或需求條件不同，或屬於同一廠商之專業得分批辦理採購，但如合併辦理較具採購效益者仍以合併為宜。
採購組,超過150萬元以上公務機票，如何選廠商議價？,（1）可利用共同供應契約各廠商所提供之折扣率內容，選擇合適之廠商訂購。（2）大量訂購機票，其數量超過一定額（150萬元以上），須依共同供應契約之契約條款之規定議價。
採購組,共約額外項超過15萬元要如何採購？,額外項超過15萬 請依本校採購作業要點第八點第一、二項辦理，事前透過招標（符合限制性招標要件者得採限制性招標）辦理議價及締約。
採購組,新台幣15－150萬之採購公告上網需多少日？,第一次：公開徵求廠商報價上網公告至少５日。第二次：公開徵求廠商報價上網公告至少３日。
採購組,新台幣十五萬元以上採購報帳之經手人，應由何人蓋章？,使用單位只需於請購單請購人及一、二級主管欄簽章即可，其餘經辦主管及經辦人由本組簽章。
採購組,限制性招標的採購，如何避免圖利廠商？,1合乎請購程序：使用單位請購時提供可採限制性招標之證明文件(含規格需求一覽表，限制性招標理由說明書，廠商報價單等)，並經簽請核可採限制性招標2注意採購法第6條(維護公共利益)及第26條(規格不得限制競爭)等法條規定。
採購組,驗收通知事宜為何？,使用單位應於貨到驗收測試無誤後，將有貴　單位簽收之『完成交貨及安裝測試報告書』交於採購組　承辦人；以利本組安排時間至現場驗收。如因貴　單位場地未設置好或無法於規定期間內提供廠商交貨用，請記得一定要事先告知承辦人；以利做適當之處理。
採購組,辦理結匯注意事項？,如需本組辦理結匯至國外，請填寫請購單並附上國外INVOICE或QUOTATION等，並請註明電匯(提供電匯相關資料)或票匯(支票抬頭)，如另需代辦免稅令，也請一併註明。
