112學年度畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,8,國立中央大學,N,1227,工業管理研究所碩士班,27,19,8,19,8,,,,
,8,國立中央大學,N,1224,人力資源管理研究所碩士班,19,4,15,4,15,,,,
,8,國立中央大學,N,1218,財務金融學系碩士班,25,12,13,12,13,,,,
,8,國立中央大學,N,1215,經濟學系碩士班,9,3,6,3,6,,,,
,8,國立中央大學,N,5478,會計研究所碩士班,14,7,7,7,7,,,,
,8,國立中央大學,N,15845,國際經營管理碩士學位學程,4,2,2,1,2,,,1,
,8,國立中央大學,N,1231,電機工程學系碩士班,145,117,28,114,28,,,3,
,8,國立中央大學,N,1235,資訊工程學系碩士班,129,92,37,86,37,1,,5,
,8,國立中央大學,N,1239,通訊工程學系碩士班,58,48,10,47,10,1,,,
,8,國立中央大學,N,1241,網路學習科技研究所碩士班,26,13,13,11,10,,,2,3
,8,國立中央大學,N,9934,資訊工程學系軟體工程碩士班,18,16,2,16,2,,,,
,8,國立中央大學,N,14701,資訊工程學系AI碩士班,8,6,2,6,2,,,,
,8,國立中央大學,N,15771,人工智慧國際碩士學位學程,4,2,2,2,1,,,,1
,8,國立中央大學,N,9641,大氣科學學系大氣物理碩士班,17,12,5,10,3,1,,1,2
,8,國立中央大學,N,9643,地球科學學系地球物理碩士班,15,11,4,11,4,,,,
,8,國立中央大學,N,1252,應用地質研究所碩士班,12,7,5,4,4,,,3,1
,8,國立中央大學,N,1253,水文與海洋科學研究所碩士班,7,3,4,3,3,,,,1
,8,國立中央大學,N,15185,太空科學與工程學系碩士班,16,11,5,10,5,,,1,
,8,國立中央大學,N,1257,法律與政府研究所碩士班,12,6,6,6,6,,,,
,8,國立中央大學,N,15844,客家語文暨社會科學學系客家社會及政策碩士班,6,2,4,2,4,,,,
,8,國立中央大學,N,9938,客家語文暨社會科學學系客家語文碩士班,3,2,1,2,1,,,,
,8,國立中央大學,N,1179,生命科學系碩士班,24,10,14,10,10,,,,4
,8,國立中央大學,N,1180,認知神經科學研究所碩士班,3,0,3,,3,,,,
,8,國立中央大學,N,10238,生醫科學與工程學系系統生物與生物資訊碩士班,6,4,2,4,2,,,,
,8,國立中央大學,N,10237,生醫科學與工程學系生物醫學工程碩士班,11,8,3,8,3,,,,
,8,國立中央大學,N,SUBT3,碩士在職專班           共計,449,267,182,267,182,,,,
,8,國立中央大學,N,1156,哲學研究所碩士在職專班,3,3,0,3,,,,,
,8,國立中央大學,N,1158,歷史研究所碩士在職專班,6,4,2,4,2,,,,
,8,國立中央大學,N,5469,光電科學與工程學系碩士在職專班,11,10,1,10,1,,,,
,8,國立中央大學,N,1189,土木工程學系碩士在職專班,19,12,7,12,7,,,,
,8,國立中央大學,N,1193,機械工程學系碩士在職專班,15,12,3,12,3,,,,
,8,國立中央大學,N,1196,環境工程研究所碩士在職專班,16,12,4,12,4,,,,
,8,國立中央大學,N,14904,土木工程學系營建管理碩士在職專班,19,17,2,17,2,,,,
,8,國立中央大學,N,5479,管理學院高階主管企管碩士班,76,60,16,60,16,,,,
,8,國立中央大學,N,1208,企業管理學系碩士在職專班,24,11,13,11,13,,,,
,8,國立中央大學,N,1212,資訊管理學系碩士在職專班,37,21,16,21,16,,,,
,8,國立中央大學,N,1222,產業經濟研究所碩士在職專班,16,5,11,5,11,,,,
,8,國立中央大學,N,1228,工業管理研究所碩士在職專班,29,13,16,13,16,,,,
,8,國立中央大學,N,1225,人力資源管理研究所碩士在職專班,28,9,19,9,19,,,,
,8,國立中央大學,N,1219,財務金融學系碩士在職專班,24,10,14,10,14,,,,
,8,國立中央大學,N,10218,會計研究所企業資源規劃會計碩士在職專班,17,5,12,5,12,,,,
,8,國立中央大學,N,15905,管理學院碩士在職現役軍人營區專班,10,7,3,7,3,,,,
,8,國立中央大學,N,1236,資訊工程學系碩士在職專班,29,23,6,23,6,,,,
,8,國立中央大學,N,1240,通訊工程學系碩士在職專班,15,12,3,12,3,,,,
,8,國立中央大學,N,10243,網路學習科技研究所碩士在職專班,17,5,12,5,12,,,,
,8,國立中央大學,N,15494,法律與政府研究所碩士在職專班,15,9,6,9,6,,,,
,8,國立中央大學,N,9581,客家語文暨社會科學學系客家研究碩士在職專班,16,3,13,3,13,,,,
,8,國立中央大學,N,15770,生醫科學與工程學系人工智慧精準醫療碩士在職專班,7,4,3,4,3,,,,
,8,國立中央大學,N,SUBT4,博士班           共計,131,91,40,55,26,,,36,14
,8,國立中央大學,N,12881,環境科技博士學位學程(台灣聯合大學系統),5,5,0,,,,,5,
,8,國立中央大學,N,1147,中國文學系博士班,4,0,4,,4,,,,
,8,國立中央大學,N,1154,哲學研究所博士班,4,1,3,1,3,,,,
,8,國立中央大學,N,1161,學習與教學研究所博士班,3,1,2,1,2,,,,
,8,國立中央大學,N,1163,數學系博士班,4,2,2,1,1,,,1,1
,8,國立中央大學,N,1166,物理學系博士班,14,12,2,6,2,,,6,
,8,國立中央大學,N,1169,化學學系博士班,1,1,0,,,,,1,
,8,國立中央大學,N,1171,天文研究所博士班,2,1,1,1,,,,,1
,8,國立中央大學,N,10041,光電博士學位學程(台灣聯合大學系統),1,0,1,,,,,,1
,8,國立中央大學,N,1187,土木工程學系博士班,9,7,2,5,1,,,2,1
,8,國立中央大學,N,1191,機械工程學系博士班,10,8,2,5,1,,,3,1
,8,國立中央大學,N,1184,化學工程與材料工程學系博士班,4,2,2,1,2,,,1,
,8,國立中央大學,N,9466,能源工程研究所博士班,2,1,1,1,1,,,,
,8,國立中央大學,N,5473,材料科學與工程研究所博士班,4,4,0,3,,,,1,
,8,國立中央大學,N,14903,土木工程學系營建管理博士班,3,3,0,3,,,,,
,8,國立中央大學,N,15218,化學工程與材料工程學系工學博士班,1,1,0,1,,,,,
,8,國立中央大學,N,15220,材料科學與工程研究所工學博士班,1,1,0,1,,,,,
,8,國立中央大學,N,1206,企業管理學系博士班,4,2,2,2,,,,,2
,8,國立中央大學,N,1226,工業管理研究所博士班,2,2,0,2,,,,,
,8,國立中央大學,N,1223,人力資源管理研究所博士班,1,1,0,1,,,,,
,8,國立中央大學,N,1217,財務金融學系博士班,2,2,0,,,,,2,
,8,國立中央大學,N,1230,電機工程學系博士班,3,2,1,2,1,,,,
,8,國立中央大學,N,1234,資訊工程學系博士班,11,6,5,3,1,,,3,4
,8,國立中央大學,N,1238,通訊工程學系博士班,1,1,0,,,,,1,
,8,國立中央大學,N,1242,網路學習科技研究所博士班,2,2,0,,,,,2,
,8,國立中央大學,N,9642,大氣科學學系大氣物理博士班,4,3,1,2,1,,,1,
,8,國立中央大學,N,9644,地球科學學系地球物理博士班,7,7,0,5,,,,2,
,8,國立中央大學,N,1251,應用地質研究所博士班,2,2,0,1,,,,1,
,8,國立中央大學,N,5482,水文與海洋科學研究所博士班,1,0,1,,1,,,,
,8,國立中央大學,N,15464,太空科學與工程學系博士班,1,1,0,1,,,,,
,8,國立中央大學,N,5483,地球系統科學國際研究生博士學位學程,2,1,1,,,,,1,1
,8,國立中央大學,N,1178,生命科學系博士班,6,4,2,1,,,,3,2
,8,國立中央大學,N,10241,生醫科學與工程學系跨領域轉譯醫學博士班,8,4,4,4,4,,,,
,8,國立中央大學,N,10240,生醫科學與工程學系系統生物與生物資訊博士班,1,1,0,1,,,,,
,8,國立中央大學,N,10239,生醫科學與工程學系生物醫學工程博士班,1,0,1,,1,,,,
,8,國立中央大學,N,SUBT5,產業研發碩士專班           共計,2,1,1,1,1,,,,
,8,國立中央大學,N,7072,光電科學與工程學系光電產業碩士專班,2,1,1,1,1,,,,
